Appid,Title,Early Access,Steam Release Date,Price (USD),Adj. review %,Filtered Reviews,All Reviews,Peak CCU,#Followers,PlayTracker rank,Top seller rank,Adj. review %,Metacritic,Opencritic,Hidden gem,Price (USD),Boxleiter Score (80),Gross Revenue,Company Revenue
253030,Race The Sun,Not current E.A.; former unknown,2013-12-09,9.99,89.3074,1725,6040,6371,-1,446,6761,89.3074,79,79,0.697938,999,138000,"$1,378,620.00",965034
858260,Until You Fall,Former E.A.,2020-10-27,24.99,90.1751,1676,1782,136,8532,12859,722,90.1751,86,,0.710587,2499,134080,"$3,350,659.20",2345461.44
15320,IL-2 Sturmovik: 1946,Not current E.A.; former unknown,2008-06-13,9.99,84.774,1657,2041,137,6335,1835,4054,84.774,86,,0.637798,999,132560,"$1,324,274.40",926992.08
331120,Passing Pineview Forest,Not current E.A.; former unknown,2014-11-21,0,64.2469,1654,1654,77,13029,3474,-1,64.2469,-1,,0.175805,0,132320,$0.00,0
434030,Aerofly FS 2 Flight Simulator,Former E.A.,2017-11-20,59.99,74.0074,1562,1618,266,17564,21369,1475,74.0074,-1,-1,0.46145,5999,124960,"$7,496,350.40",5247445.28
846470,Moss,Not current E.A.; former unknown,2018-06-07,29.99,88.2195,1530,1911,280,21362,7426,1351,88.2195,81,,0.689422,2999,122400,"$3,670,776.00",2569543.2
963930,Contractors,Former E.A.,2018-12-14,19.99,78.4352,1503,1637,814,7498,13572,1446,78.4352,-1,,0.544603,1999,120240,"$2,403,597.60",1682518.32
588030,Derail Valley,Current E.A.,2019-01-25,19.99,87.2959,1469,1525,1128,9481,18886,1396,87.2959,-1,,0.679063,1999,117520,"$2,349,224.80",1644457.36
650000,DOOM VFR,Not current E.A.; former unknown,2017-11-30,29.99,56.1833,1436,2034,597,10550,12211,2526,56.1833,69,,-1,2999,114880,"$3,445,251.20",2411675.84
1104380,The Room VR: A Dark Matter,Not current E.A.; former unknown,2020-03-26,29.99,91.6987,1423,1484,137,7170,17936,695,91.6987,-1,,0.737909,2999,113840,"$3,414,061.60",2389843.12
233230,Kairo,Not current E.A.; former unknown,2013-04-24,4.99,71.2483,1405,1636,82,3482,2993,12364,71.2483,76,,0.410181,499,112400,"$560,876.00",392613.2
469990,NEKOPALIVE,Not current E.A.; former unknown,2016-05-31,0,87.2046,1350,1350,94,12068,4163,-1,87.2046,-1,,0.682203,0,108000,$0.00,0
436820,Waltz of the Wizard (Legacy),Not current E.A.; former unknown,2016-05-31,0,90.7288,1345,1345,509,7581,3460,-1,90.7288,-1,,0.728559,0,107600,$0.00,0
886250,PokerStars VR,Current E.A.,2018-11-08,0,83.5902,1342,1342,1327,1478,30690,1256,83.5902,-1,,0.631686,0,107360,$0.00,0
1363430,Propagation VR,Not current E.A.; former unknown,2020-09-25,0,90.6981,1337,1337,78,2889,,-1,90.6981,-1,,0.728476,0,106960,$0.00,0
314520,Euro Fishing,Former E.A.,2015-11-02,19.99,59.7325,1328,1612,406,-1,14070,7815,59.7325,-1,,-1,1999,106240,"$2,123,737.60",1486616.32
283160,House of the Dying Sun,Former E.A.,2016-11-01,19.99,85.3427,1321,1401,197,20770,12471,4605,85.3427,76,-1,0.657673,1999,105680,"$2,112,543.20",1478780.24
469610,Rick and Morty: Virtual Rick-ality,Not current E.A.; former unknown,2017-04-20,29.99,72.9636,1302,1382,926,19993,8603,1000,72.9636,75,,0.452173,2999,104160,"$3,123,758.40",2186630.88
1067800,Spider-Man: Far From Home Virtual Reality,Not current E.A.; former unknown,2019-06-25,0,72.9461,1293,1293,2661,3859,,-1,72.9461,-1,,0.452285,0,103440,$0.00,0
555880,Sairento VR,Former E.A.,2018-02-06,29.99,83.5786,1289,1379,347,16313,10921,2867,83.5786,78,,0.633736,2999,103120,"$3,092,568.80",2164798.16
475190,Scanner Sombre,Not current E.A.; former unknown,2017-04-26,5.99,85.2982,1281,2341,182,4844,1529,7608,85.2982,67,68.5714,0.658718,599,102480,"$613,855.20",429698.64
381940,Trials on Tatooine,Not current E.A.; former unknown,2016-07-18,0,75.5757,1268,1268,261,4289,5225,-1,75.5757,-1,,0.504471,0,101440,$0.00,0
373330,All Is Dust,Not current E.A.; former unknown,2015-06-26,0,43.7977,1268,1268,119,7423,4118,-1,43.7977,-1,,-1,0,101440,$0.00,0
416590,Emily Wants To Play,Not current E.A.; former unknown,2015-12-10,4.99,75.5602,1267,1423,168,7843,8143,2933,75.5602,-1,75.3333,0.504237,499,101360,"$505,786.40",354050.48
375900,Trackmania® Turbo,Not current E.A.; former unknown,2016-03-24,39.99,62.3536,1266,1341,2042,22109,15011,2266,62.3536,-1,,0.0978373,3999,101280,"$4,050,187.20",2835131.04
587860,Tales of Escape,Not current E.A.; former unknown,2017-03-15,0,67.6523,1256,1256,285,5257,4900,2268,67.6523,-1,,0.328968,0,100480,$0.00,0
679260,Bus Driver Simulator,Former E.A.,2019-12-04,4.99,54.4124,1251,1374,941,6916,29521,1321,54.4124,-1,,-1,499,100080,"$499,399.20",349579.44
1073390,Aircar,Not current E.A.; former unknown,2019-08-09,0,88.7699,1234,1234,44,3084,,-1,88.7699,-1,,0.707842,0,98720,$0.00,0
641960,BOXVR,Former E.A.,2019-05-21,29.99,78.2298,1227,1327,572,4363,15970,1363,78.2298,-1,,0.553057,2999,98160,"$2,943,818.40",2060672.88
1248990,"Mýrdalssandur, Iceland",Not current E.A.; former unknown,2021-03-31,0,87.0623,1225,1225,100,4758,9198,9408,87.0623,-1,,0.685499,0,98000,$0.00,0
429180,Project CARS - Pagani Edition,Not current E.A.; former unknown,2016-10-28,0,59.704,1223,1223,627,5783,3250,-1,59.704,-1,,-1,0,97840,$0.00,0
587430,I Expect You To Die,Not current E.A.; former unknown,2017-04-25,24.99,89.7031,1220,1500,822,6892,6506,1547,89.7031,77,,0.720582,2499,97600,"$2,439,024.00",1707316.8
691260,POPULATION: ONE,Not current E.A.; former unknown,2020-10-22,29.99,84.282,1173,1281,442,4581,20581,382,84.282,-1,,0.649235,2999,93840,"$2,814,261.60",1969983.12
755770,YouTube VR,Current E.A.,2017-12-14,0,21.7664,1165,1165,686,1510,7129,-1,21.7664,-1,,-1,0,93200,$0.00,0
238280,Legend of Dungeon,Not current E.A.; former unknown,2013-09-13,9.99,70.1723,1152,1554,1688,7987,2313,7023,70.1723,62,,0.400289,999,92160,"$920,678.40",644474.88
451520,theBlu,Not current E.A.; former unknown,2016-04-05,9.99,79.8925,1136,1160,1044,6762,14365,4129,79.8925,-1,,0.584946,999,90880,"$907,891.20",635523.84
400940,Budget Cuts,Not current E.A.; former unknown,2018-06-14,29.99,75.4524,1130,1288,534,16222,5083,1594,75.4524,76,,0.509726,2999,90400,"$2,711,096.00",1897767.2
1098490,Explore Fushimi Inari,Not current E.A.; former unknown,2019-10-11,0,88.6723,1128,1128,71,3365,9800,13219,88.6723,-1,,0.711519,0,90240,$0.00,0
748370,STAND OUT : VR Battle Royale,Former E.A.,2019-05-17,24.99,69.3362,1128,1308,496,9752,15990,2582,69.3362,-1,,0.382076,2499,90240,"$2,255,097.60",1578568.32
751440,VR Kanojo / VRカノジョ,Not current E.A.; former unknown,2018-04-08,49.99,75.4436,1125,1221,521,59476,16861,723,75.4436,-1,,0.509863,4999,90000,"$4,499,100.00",3149370
465240,Serious Sam VR: The Last Hope,Former E.A.,2017-09-20,39.99,79.8446,1121,1190,3083,10899,8394,2971,79.8446,-1,,0.585003,3999,89680,"$3,586,303.20",2510412.24
406350,KartKraft™,Current E.A.,2018-11-01,19.99,78.9591,1114,1394,141,13810,17883,1655,78.9591,-1,,0.571118,1999,89120,"$1,781,508.80",1247056.16
638110,Desert Bus VR,Not current E.A.; former unknown,2017-11-27,0,84.2147,1103,1103,141,1616,6845,-1,84.2147,-1,-1,0.651862,0,88240,$0.00,0
587220,Jet Island,Not current E.A.; former unknown,2018-09-21,19.99,89.4941,1078,1143,163,3212,16834,1732,89.4941,-1,,0.724774,1999,86240,"$1,723,937.60",1206756.32
448850,Overload,Former E.A.,2018-05-31,29.99,88.5791,1075,1415,263,13703,3320,5289,88.5791,74,,0.71305,2999,86000,"$2,579,140.00",1805398
430210,Megaton Rainfall,Not current E.A.; former unknown,2017-11-17,15.99,69.2534,1045,1130,457,14766,14500,4088,69.2534,-1,68.7917,0.386457,1599,83600,"$1,336,764.00",935734.8
658570,FURIDASHI: Drift Cyber Sport,Not current E.A.; former unknown,2017-11-02,17.99,78.8676,1032,1151,103,-1,16956,2848,78.8676,-1,,0.574549,1799,82560,"$1,485,254.40",1039678.08
958400,Project CARS 3,Not current E.A.; former unknown,2020-08-27,59.99,52.6002,1010,1623,704,14005,21064,832,52.6002,-1,,-1,5999,80800,"$4,847,192.00",3393034.4
957790,WAR DUST | 32 vs 32 Battles,Former E.A.,2020-05-06,24.99,73.5809,1002,1103,374,7656,18583,3297,73.5809,-1,,0.482977,2499,80160,"$2,003,198.40",1402238.88
1039880,Hellsplit: Arena,Not current E.A.; former unknown,2019-09-09,24.99,78.8049,1001,1073,93,5555,18371,504,78.8049,-1,,0.575553,2499,80080,"$2,001,199.20",1400839.44
566860,VR Dungeon Knight,Current E.A.,2017-04-24,19.99,80.5849,979,1018,234,5747,14503,2009,80.5849,-1,,0.605305,1999,78320,"$1,565,616.80",1095931.76
270130,The Gallery - Episode 1: Call of the Starseed,Not current E.A.; former unknown,2016-04-05,14.99,77.931,965,1469,65,9874,10662,6606,77.931,79,,0.563659,1499,77200,"$1,157,228.00",810059.6
1097880,Super Naughty Maid 2,Not current E.A.; former unknown,2019-06-20,15.99,82.2635,964,1034,93,16365,18116,3426,82.2635,-1,,0.631796,1599,77120,"$1,233,148.80",863204.16
300060,ADR1FT,Not current E.A.; former unknown,2016-03-28,19.99,56.0933,953,1550,435,13999,3388,9388,56.0933,64,62.1613,-1,1999,76240,"$1,524,037.60",1066826.32
646200,Dead Effect 2 VR,Former E.A.,2017-10-03,24.99,77.0574,952,996,228,5726,12829,4704,77.0574,-1,,0.549875,2499,76160,"$1,903,238.40",1332266.88
520010,Climbey,Current E.A.,2016-10-25,9.99,86.5804,920,968,442,2086,11852,2449,86.5804,-1,,0.695983,999,73600,"$735,264.00",514684.8
1097580,CUSTOM ORDER MAID 3D2 It's a Night Magic,Not current E.A.; former unknown,2019-07-30,40,81.3237,917,1003,311,23968,19285,1350,81.3237,-1,,0.621037,4000,73360,"$2,934,400.00",2054080
502820,Batman™: Arkham VR,Not current E.A.; former unknown,2017-04-25,19.99,66.545,903,1304,198,5650,12609,2961,66.545,-1,,0.329293,1999,72240,"$1,444,077.60",1010854.32
618740,Beat Hazard 2,Former E.A.,2019-10-16,18.99,86.5731,899,1597,417,7824,3430,2511,86.5731,-1,,0.697397,1899,71920,"$1,365,760.80",956032.56
746930,OrbusVR: Reborn,Former E.A.,2019-04-23,19.99,73.497,895,1102,372,10606,16873,2593,73.497,-1,,0.490073,1999,71600,"$1,431,284.00",1001898.8
577690,Spooky's Jump Scare Mansion: HD Renovation,Not current E.A.; former unknown,2017-03-01,9.99,88.2547,891,949,173,3742,16619,1653,88.2547,-1,,0.720355,999,71280,"$712,087.20",498461.04
